name,accuracy,ber,latency_us,n_params,Tb,tx_mode
Peak-Fixed,0.6,0.4,0.0052800169214606285,0,10,Normal
Adaptive-EMA,0.7666666666666667,0.23333333333333334,0.38083332280317944,0,10,Normal
MAP (Mismatched),0.58,0.42,1.6016666389380891,0,10,Normal
Feedforward-MLP,0.6866666666666666,0.31333333333333335,0.7377799677972993,21249,10,Normal
ANN,0.62,0.38,0.7713867429022988,3777,10,Normal
CNN,0.7,0.3,15.03527998769035,1033,10,Normal
LSTM,0.6866666666666666,0.31333333333333335,6.025833329961945,1233,10,Normal
RC,0.7866666666666666,0.21333333333333335,15.886666660662739,401,10,Normal
RC-ISI,0.7466666666666667,0.25333333333333335,15.772779976638656,401,10,Normal
Hybrid-ISICancel+RC,0.74,0.26,17.039166608204443,401,10,Normal
Peak-Fixed,0.5933333333333334,0.4066666666666667,0.004999941059698661,0,10,Smart-TX
Adaptive-EMA,0.76,0.24,0.4113866210294267,0,10,Smart-TX
MAP (Mismatched),0.62,0.38,1.5899999804484346,0,10,Smart-TX
Feedforward-MLP,0.68,0.32,0.8411066179784636,21249,10,Smart-TX
ANN,0.6066666666666667,0.3933333333333333,0.7038867139878373,3777,10,Smart-TX
CNN,0.72,0.28,15.546666691079736,1033,10,Smart-TX
LSTM,0.7066666666666667,0.29333333333333333,6.11916669489195,1233,10,Smart-TX
RC,0.7866666666666666,0.21333333333333335,15.64193992332245,401,10,Smart-TX
RC-ISI,0.7866666666666666,0.21333333333333335,15.815280009216318,401,10,Smart-TX
Hybrid-ISICancel+RC,0.7466666666666667,0.25333333333333335,15.895273342418175,401,10,Smart-TX
Peak-Fixed,0.92,0.08,0.00500003807246685,0,100,Normal
Adaptive-EMA,0.96,0.04,0.41694671381264925,0,100,Normal
MAP (Mismatched),0.9266666666666666,0.07333333333333333,1.6416666524795194,0,100,Normal
Feedforward-MLP,0.8466666666666667,0.15333333333333332,1.7605600684570768,136449,100,Normal
ANN,0.84,0.16,1.0694466376056275,32577,100,Normal
CNN,0.82,0.18,142.2755533712916,8233,100,Normal
LSTM,0.8866666666666667,0.11333333333333333,6.125833315309137,1233,100,Normal
RC,0.9733333333333334,0.02666666666666667,15.752226657544574,401,100,Normal
RC-ISI,0.9733333333333334,0.02666666666666667,15.964166668709366,401,100,Normal
Hybrid-ISICancel+RC,0.9866666666666667,0.013333333333333334,15.792226671086002,401,100,Normal
Peak-Fixed,0.92,0.08,0.00527332304045558,0,100,Smart-TX
Adaptive-EMA,0.96,0.04,0.4086133170252045,0,100,Smart-TX
MAP (Mismatched),0.9266666666666666,0.07333333333333333,1.5944399638101459,0,100,Smart-TX
Feedforward-MLP,0.8533333333333334,0.14666666666666667,1.8588866805657744,136449,100,Smart-TX
ANN,0.8466666666666667,0.15333333333333332,1.32472002102683,32577,100,Smart-TX
CNN,0.7733333333333333,0.22666666666666666,139.97972001864886,8233,100,Smart-TX
LSTM,0.9266666666666666,0.07333333333333333,5.946940024538587,1233,100,Smart-TX
RC,0.9733333333333334,0.02666666666666667,15.797773376107216,401,100,Smart-TX
RC-ISI,0.9733333333333334,0.02666666666666667,16.6419399708199,401,100,Smart-TX
Hybrid-ISICancel+RC,0.9866666666666667,0.013333333333333334,15.748333341131607,401,100,Smart-TX
Peak-Fixed,0.9266666666666666,0.07333333333333333,0.00527332304045558,0,200,Normal
Adaptive-EMA,0.9933333333333333,0.006666666666666667,0.4119466757401824,0,200,Normal
MAP (Mismatched),0.96,0.04,1.664166629780084,0,200,Normal
Feedforward-MLP,0.8866666666666667,0.11333333333333333,2.588893306286385,264449,200,Normal
ANN,0.8666666666666667,0.13333333333333333,2.154720035226395,64577,200,Normal
CNN,0.84,0.16,279.7200000107599,16233,200,Normal
LSTM,0.94,0.06,5.935560038778931,1233,200,Normal
RC,0.9866666666666667,0.013333333333333334,15.87583334185183,401,200,Normal
RC-ISI,0.9866666666666667,0.013333333333333334,15.872779961985845,401,200,Normal
Hybrid-ISICancel+RC,1.0,0.0,16.026666659551363,401,200,Normal
Peak-Fixed,0.9266666666666666,0.07333333333333333,0.004726656091709931,0,200,Smart-TX
Adaptive-EMA,0.9933333333333333,0.006666666666666667,0.4086133170252045,0,200,Smart-TX
MAP (Mismatched),0.96,0.04,1.6169466349917154,0,200,Smart-TX
Feedforward-MLP,0.88,0.12,3.101940092165023,264449,200,Smart-TX
ANN,0.9,0.1,2.2702733015952012,64577,200,Smart-TX
CNN,0.7866666666666666,0.21333333333333335,280.9080532946003,16233,200,Smart-TX
LSTM,0.9133333333333333,0.08666666666666667,5.809166662705441,1233,200,Smart-TX
RC,0.9866666666666667,0.013333333333333334,15.946393347500512,401,200,Smart-TX
RC-ISI,0.9866666666666667,0.013333333333333334,17.045273270923644,401,200,Smart-TX
Hybrid-ISICancel+RC,1.0,0.0,16.029166678587597,401,200,Smart-TX
